Hs;Hmax;Tz;Tp;Peak Direction;SST
0;0;0;0;0;0
0.875;1.39;4.421;4.506;0;0
0.763;1.15;4.52;5.513;49;25.65
0.77;1.41;4.582;5.647;75;25.5
0.747;1.16;4.515;5.083;91;25.45
0.718;1.61;4.614;6.181;68;25.45
0.707;1.34;4.568;4.705;73;25.5
0.729;1.21;4.786;4.484;63;25.5
0.733;1.2;4.897;5.042;68;25.5
0.711;1.29;5.019;8.439;66;25.5
0.698;1.11;4.867;4.584;64;25.55
0.686;1.14;4.755;5.211;56;25.55
0.721;1.12;4.843;5.813;67;25.5
0.679;1.22;4.948;4.71;81;25.45
0.66;1.08;5.068;5.353;90;25.45
0.662;1.18;5.263;7.436;67;25.4
0.653;1.21;5.007;6.001;90;25.45
0.665;1.17;4.952;6.414;90;25.55
0.684;1.55;5.022;6.691;88;25.6
0.679;1.09;4.926;6.804;88;25.65
0.667;1.12;4.928;6.641;122;25.75
0.688;1.13;4.808;5.958;91;25.7
0.644;0.99;4.559;6.691;92;25.9
0.694;1.18;4.442;7.122;98;25.7
0.707;1.59;4.314;7.019;97;26
0.714;1.37;4.14;8.154;88;26.05
0.739;1.19;4.149;5.668;98;26.05
0.846;1.51;3.961;7.055;81;26.05
0.815;1.23;3.963;3.833;73;26.05
0.903;1.63;4.072;3.652;53;26.15
0.908;1.48;3.933;3.886;50;26.3
0.957;1.56;4.105;4.397;43;26.4
0.996;1.605;4.121;5.468;45;26.4
1.08;1.78;4.21;4.589;70;26.35
1.078;1.86;4.285;5.18;40;26.4
1.125;2.13;4.313;4.854;47;26.3
1.165;1.69;4.435;5.266;56;26.2
1.244;1.94;4.527;5.94;54;26.1
1.234;1.86;4.454;6.329;66;25.95
1.328;2.564;4.591;5.214;80;25.75
1.266;2.2;4.404;4.809;0;25.45
1.171;2.5;4.388;5.368;46;25.4
1.181;1.92;4.591;5.306;61;25.2
1.238;2.25;4.579;5.337;75;25.2
1.201;2.03;4.654;5.984;59;25.15
1.163;2.06;4.56;5.642;70;25.1
1.163;2.01;4.507;6.138;60;25.05
1.153;1.91;4.588;5.971;68;25
1.088;1.88;4.594;5.512;60;24.95
1.073;1.97;4.409;5.433;64;24.95
0.966;1.72;4.246;5.945;61;24.9
0.998;1.58;4.368;5.26;63;24.9
1.003;1.68;4.486;5.751;59;24.7
0.963;1.9;4.262;5.998;53;24.75
1.048;2.03;4.56;5.972;60;24.7
